[Header]
TITLE,H20250619(ISISA HPHT 475C 6GPa 3.5h YBCO7).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,17.43,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (�J/K)
22051785.84,,5905,6.07239,6.1057,0.325,9.1E-6,6.0565515,0.062288451,204.50163,1.423,7.5385651,0.01968,12.888845,0.02107,0.53966169,2.0380704,0.013171299,97.383647,301.66277,0.9723,1,,,,6.3535115E-6,4.1258878,36.681816,33.765358,0
22051829.25,,5905,6.07218,6.1077,0.325,9.4E-6,6.0518921,0.062827982,210.60526,1.609,7.5259664,0.01965,13.035933,0.0278,1.2191515,2.2435575,0.031855879,94.388809,298.49014,1.071,1,,,,5.872993E-6,4.0761408,36.625398,34.799904,0
22052063.22,,5905,6.5724,6.6082,0.325,9.3E-6,6.5532412,0.066547648,245.86022,1.74,9.3283442,0.02535,15.760669,0.02668,0.84362981,2.2355606,0.012648832,97.693597,306.96486,1.011,1,,,,7.077867E-6,4.4871151,42.94497,37.517347,0
22052101.97,,5905,6.57406,6.61,0.325,9.3E-6,6.5547758,0.066558402,245.71331,1.741,9.3343806,0.02537,15.762862,0.02674,0.91971964,2.2443924,0.013799609,97.496442,307.09793,1.012,1,,,,7.0534019E-6,4.4711211,42.965086,37.48615,0
22052141.06,,5905,6.5754,6.6121,0.325,9.3E-6,6.5561631,0.066640453,245.41813,1.735,9.3396759,0.02539,15.760435,0.0265,1.3173494,2.23872,0.01437866,97.385919,307.28602,1.01,1,,,,7.0714986E-6,4.4887847,42.983274,37.433196,0
22052378.02,,5905,7.11539,7.1536,0.325,9.3E-6,7.0878934,0.067706547,297.61426,2.216,11.47275,0.03512,19.259092,0.03695,0.47192696,2.4939575,0.017724717,97.106264,311.5261,1.087,1,,,,7.7601864E-6,4.4774401,50.238233,41.989099,0
22052419.06,,5905,7.11817,7.1567,0.325,9.4E-6,7.0923465,0.072471992,299.14302,2.206,11.487346,0.03519,19.313684,0.03624,1.4412879,2.493017,0.017581314,97.130106,311.1899,1.074,1,,,,7.7849683E-6,4.987915,50.301379,42.178286,0
22052458.98,,5905,7.11863,7.1566,0.325,9.3E-6,7.0929965,0.072404616,298.12176,2.201,11.489468,0.0352,19.289087,0.03623,0.8401692,2.4678528,0.014538384,97.593513,311.57339,1.077,1,,,,7.8478414E-6,4.9860339,50.310599,42.03044,0
22052699.56,,5905,7.70383,7.7448,0.325,9.4E-6,7.6717834,0.073246277,365.40422,2.752,14.063127,0.04527,23.623026,0.04663,1.3390083,2.7379483,0.018065129,97.310569,314.89587,1.113,1,,,,8.6673156E-6,4.9357055,58.856261,47.629632,0
22052741.58,,5905,7.70576,7.7457,0.325,9.4E-6,7.6761637,0.077927001,368.73809,2.778,14.086672,0.04533,23.733793,0.04711,1.9903825,2.7768239,0.019917946,97.084557,314.12323,1.111,1,,,,8.5898149E-6,5.4758967,58.923489,48.036767,0
22052782.3,,5905,7.70655,7.7486,0.325,9.1E-6,7.6781465,0.078355738,366.89685,2.764,14.095418,0.04535,23.694367,0.04687,2.2402306,2.7330081,0.017733572,97.355203,314.72909,1.113,1,,,,8.7086102E-6,5.5536479,58.953934,47.78456,0
22053029.63,,5905,8.34139,8.3864,0.325,9.4E-6,8.3032519,0.079088241,455.54549,3.528,17.166847,0.0519,29.085069,0.06201,0.14507268,3.0869077,0.021725109,97.145019,316.66449,1.153,1,,,,9.4688996E-6,5.4660162,68.943993,54.863503,0
22053074.09,,5905,8.34389,8.388,0.325,9.1E-6,8.3085973,0.085177651,458.31692,3.36,17.18975,0.05195,29.180479,0.05472,1.0283097,3.063951,0.019221084,97.451957,316.22837,1.085,1,,,,9.566121E-6,6.1738153,69.03279,55.161768,0
22053118.56,,5905,8.34476,8.3901,0.325,9.1E-6,8.3101555,0.084775426,457.76894,3.341,17.197348,0.05197,29.173741,0.05402,0.72652688,3.0569732,0.018597197,97.527113,316.41382,1.08,1,,,,9.5843727E-6,6.1279019,69.058684,55.085484,0
22053370,,5905,9.03046,9.0785,0.325,9.4E-6,8.9903408,0.086144907,571.66304,4.133,20.83339,0.06338,35.789541,0.06581,1.2619605,3.408302,0.02167072,97.429739,317.87656,1.073,1,,,,1.0549382E-5,6.1139465,80.826227,63.58636,0
22053419.56,,5905,9.03312,9.0807,0.325,9.1E-6,8.9953137,0.092205833,576.15865,4.15,20.857332,0.06346,35.931099,0.06564,1.4026629,3.4325328,0.021684559,97.44853,317.22303,1.066,1,,,,1.0516354E-5,6.8166041,80.915668,64.050979,0
22053469.41,,5905,9.03476,9.0825,0.325,9.3E-6,8.9978652,0.092422304,572.35025,4.139,20.870761,0.06351,35.844891,0.0659,0.76234161,3.3934528,0.019007114,97.731109,318.01523,1.074,1,,,,1.0605993E-5,6.8650655,80.961578,63.609561,0
22053726.88,,5905,9.77682,9.8303,0.325,9.3E-6,9.7311317,0.093176049,719.86214,5.152,25.172544,0.07575,44.005958,0.08059,0.54923203,3.8252823,0.024161684,97.461232,318.6218,1.063,1,,,,1.1559215E-5,6.7869056,94.694925,73.975171,0
22053774.61,,5905,9.77948,9.833,0.325,9.3E-6,9.7377245,0.10030558,724.34822,5.136,25.209046,0.07581,44.159827,0.07898,1.3188601,3.8043076,0.023579868,97.509507,318.17808,1.05,1,,,,1.166279E-5,7.6505647,94.823278,74.385779,0
22053822.7,,5905,9.78163,9.8347,0.325,9.4E-6,9.7398524,0.099963386,725.45177,5.12,25.221759,0.07584,44.201412,0.07802,1.3765327,3.8010949,0.02304254,97.563688,318.08616,1.043,1,,,,1.1682468E-5,7.6086152,94.864724,74.48283,0
22054086.38,,5905,10.5856,10.6433,0.325,9.4E-6,10.533891,0.10103823,922.05538,6.315,30.339885,0.08347,54.463186,0.09023,0.80155392,4.297903,0.029319767,97.280626,317.58872,1.003,1,,,,1.2742012E-5,7.6021898,110.96285,87.532271,0
22054137.81,,5905,10.5889,10.6451,0.325,9.4E-6,10.541442,0.10919213,920.54146,6.263,30.386495,0.08357,54.470187,0.08807,1.1632878,4.2549556,0.025283409,97.62555,317.99053,0.9952,1,,,,1.2862822E-5,8.595806,111.12201,87.325949,0
22054189.89,,5905,10.59,10.6481,0.325,9.1E-6,10.542857,0.10843745,921.95962,6.263,30.394897,0.08359,54.515692,0.08772,1.092492,4.2409176,0.023312699,97.801312,317.87004,0.9927,1,,,,1.2911581E-5,8.5099111,111.15183,87.448748,0
22054461.63,,5905,11.4595,11.5203,0.325,9.3E-6,11.402335,0.1089955,1176.9816,8.103,36.39503,0.1081,67.187845,0.1172,0.57542283,4.7897591,0.030211902,97.495945,316.90748,1.007,1,,,,1.4103553E-5,8.4818351,130.01323,103.22286,0
22054515.41,,5905,11.4629,11.5251,0.325,9.3E-6,11.41025,0.1179844,1174.8113,8.038,36.449395,0.1084,67.185429,0.1146,0.50204952,4.7738285,0.02599841,97.833208,317.32264,1.001,1,,,,1.4139294E-5,9.5795182,130.1938,102.96105,0
22054569.39,,5905,11.4655,11.5262,0.325,9.1E-6,11.412478,0.11752238,1177.6757,8.021,36.465175,0.1085,67.27615,0.1131,1.3359007,4.7664671,0.026673053,97.774637,317.12707,0.994,1,,,,1.4182229E-5,9.547657,130.24465,103.19194,0
22054849.08,,5905,12.407,12.4719,0.325,9.1E-6,12.343515,0.11812771,1496.5894,10.42,43.510148,0.1395,82.664712,0.1543,0.22703788,5.3431093,0.028811042,97.862445,316.66482,1.021,1,,,,1.5547502E-5,9.5329342,152.36236,121.245,0
22054907.2,,5905,12.412,12.4748,0.325,9.4E-6,12.351491,0.12679944,1510.8658,10.32,43.571549,0.1396,83.099621,0.1463,1.0479782,5.3813954,0.030759345,97.73643,315.86822,0.9932,1,,,,1.5523409E-5,10.686219,152.55932,122.32255,0
22054964.58,,5905,12.4141,12.4767,0.325,9.3E-6,12.35462,0.12708913,1513.2899,10.31,43.595315,0.1397,83.186805,0.1455,2.038114,5.3479148,0.02786683,97.934302,315.77946,0.9901,1,,,,1.5629708E-5,10.762791,152.63664,122.48777,0
22055252.83,,5905,13.4345,13.5023,0.325,9.1E-6,13.362674,0.12641327,1953.2492,12.97,51.871779,0.1571,102.97372,0.171,0.62499843,6.0744949,0.034093972,97.779902,313.69141,0.9494,1,,,,1.7047143E-5,10.69583,178.56105,146.17204,0
22055315.19,,5905,13.4386,13.5057,0.325,9.4E-6,13.372571,0.13752496,1940.4458,12.94,51.942982,0.1573,102.70995,0.1728,0.21949313,5.9889143,0.024661798,98.366302,314.61268,0.9583,1,,,,1.7219888E-5,12.14899,178.82566,145.10641,0
22055375.77,,5905,13.4408,13.5072,0.325,9.4E-6,13.373725,0.13618217,1957.3948,12.94,51.965666,0.1573,103.17606,0.1679,1.5004334,6.099138,0.034112461,97.787585,313.72903,0.9427,1,,,,1.701132E-5,11.977829,178.85651,146.36123,0
22055676.39,,5905,14.5461,14.613,0.325,9.4E-6,14.467356,0.1380948,2498.3429,16.39,61.725243,0.1775,127.08821,0.2077,0.22761123,6.8753672,0.034545683,98.007242,312.87179,0.9434,1,,,,1.8584492E-5,12.198276,209.30438,172.68829,0
22055743.47,,5905,14.5505,14.615,0.325,9.1E-6,14.476503,0.14888194,2509.9687,16.16,61.811349,0.1777,127.47848,0.1921,1.7172009,6.9028833,0.034362253,98.025302,312.58548,0.9025,1,,,,1.8566638E-5,13.750734,209.56913,173.38226,0
22055810.19,,5905,14.5518,14.6162,0.325,9.1E-6,14.478638,0.1483132,2506.0786,16.1,61.826954,0.1777,127.39231,0.1893,1.7425526,6.7559758,0.03022125,98.223992,312.79327,0.9131,1,,,,1.8946961E-5,13.805767,209.63095,173.08801,0
22056114.13,,5905,15.749,15.8218,0.325,9.3E-6,15.663187,0.14643805,3241.9795,20.91,73.184264,0.2058,158.00265,0.2498,0.17170444,7.8264154,0.039681375,97.978144,310.55304,0.8988,1,,,,2.0309048E-5,13.511952,245.33543,206.98083,0
22056186.83,,5905,15.7527,15.8248,0.325,9.1E-6,15.674996,0.16083371,3252.0148,20.65,73.29301,0.2061,158.37394,0.2314,0.48482904,7.8057302,0.037134289,98.101673,310.46713,0.8754,1,,,,2.0403299E-5,15.652831,245.70549,207.46511,0
22056258.44,,5905,15.7563,15.8281,0.325,9.3E-6,15.67801,0.16031164,3256.4502,20.67,73.321421,0.2062,158.51839,0.2314,0.35490807,7.7916029,0.036250325,98.143028,310.38576,0.8747,1,,,,2.0456491E-5,15.61146,245.79999,207.70814,0
