[Header]
TITLE,H241008(P240917-KClO3).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,6.81,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
1597196.2,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1171.cal|Addenda #159 measured on 07/10/24 from 2.1315 to 299.29 K
1610870.39,,5905,29.4874,29.6556,0.619,9.3E-6,29.427033,0.27733168,21899.77,185.8,180.8246,0.82,404.68073,0.9511,0.094750911,11.497847,0.1419442,95.097308,306.51274,1.244,1,,,,3.5758505E-5,19.361382,865.95028,744.20585,0
1611498.27,,5905,32.7502,32.8987,0.619,9.4E-6,32.680753,0.31137916,27909.597,228.2,220.16178,0.9832,505.44946,1.027,0.56376024,12.930258,0.14536722,95.499278,312.32869,1.233,1,,,,3.9684113E-5,22.995693,1068.0316,854.00716,0
1612126.58,,5905,36.0006,36.1557,0.619,9.3E-6,35.926637,0.34072399,34326.203,276.4,262.49002,1.108,613.36727,1.161,0.38961044,14.649757,0.1616866,95.558342,318.29364,1.264,1,,,,4.2512832E-5,25.860516,1290.7233,955.45272,0
1612760.64,,5905,39.2502,39.4132,0.619,9.3E-6,39.177854,0.37421119,41181.588,327.9,308.34211,1.217,729.29407,1.297,0.29701109,16.367562,0.1772894,95.623837,323.93111,1.308,1,,,,4.5244206E-5,29.299515,1534.9042,1051.1446,0
1613412.61,,5905,42.5008,42.6753,0.619,9.3E-6,42.427729,0.4015103,49577.85,389.1,356.99414,1.293,863.77142,1.404,0.14993261,18.022228,0.19496003,95.597346,325.96538,1.339,1,,,,4.8696352E-5,32.735124,1800.1122,1168.5247,0
1614081.56,,5905,45.7541,45.9363,0.619,9.4E-6,45.689098,0.44511184,54614.037,426.9,409.42956,1.373,967.68599,1.496,0.14433728,19.58112,0.20697753,95.72904,337.32722,1.414,1,,,,5.0161097E-5,36.044456,2087.4936,1195.3407,0
1614770.41,,5905,49.0066,49.1923,0.619,9.4E-6,48.942883,0.47812214,61670.648,479,465.91389,1.488,1096.3019,1.597,0.2142552,21.234742,0.22638872,95.698572,343.12399,1.477,1,,,,5.2403408E-5,39.162239,2395.4058,1260.0534,0
1615484.19,,5905,52.2536,52.4508,0.619,9.4E-6,52.193149,0.50835269,69735.644,540.1,526.77496,1.622,1239.6022,1.756,0.2072058,22.844704,0.23801256,95.795034,346.42809,1.553,1,,,,5.5058167E-5,42.469485,2724.1248,1336.1072,0
1616122.78,,5905,55.5112,55.7097,0.619,9.4E-6,55.448277,0.54741628,74866.203,578.1,592.11494,1.753,1357.3859,1.829,2.4942835,24.284955,0.26374334,95.651686,356.13282,1.634,1,,,,5.6710748E-5,45.689407,3074.5114,1350.1989,0
1616755.48,,5905,58.7588,58.9672,0.619,9.4E-6,58.694257,0.57894025,81717.48,628.6,661.39295,1.847,1496.6967,1.915,3.0270861,26.040211,0.29368901,95.502053,361.4681,1.711,1,,,,5.8329291E-5,48.569911,3445.0158,1392.2568,0
